country,population_rank_2018,gdp_capita_nominal_2018,struct_1945
China,1,9771,3
India,2,2016,3
United States,3,62641,1
Indonesia,4,3894,3
Pakistan,5,1473,3
Brazil,6,8921,3
Nigeria,7,2028,3
Bangladesh,8,1698,3
Russia/USSR,9,11289,2
Japan,10,39287,1
Mexico,11,9698,3
Ethiopia,12,772,3
Philippines,13,3103,3
Egypt,14,2549,3
Vietnam,15,2564,3
DR Congo,16,562,3
Germany,17,48196,1
Turkey,18,9311,3
Iran,19,5628,3
Thailand,20,7274,3
France,21,41464,1
United Kingdom,22,42491,1
Italy,23,34318,1
South Africa,24,6374,3
Tanzania,25,1051,3
South Korea,27,31363,3